"Município";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"240730 MARCELINO VIEIRA";"79";"125";"106";"479";"408";"210";"1407"
"240740 MARTINS";"185";"181";"131";"137";"672";"1287";"2593"
"240750 MAXARANGUAPE";"166";"94";"200";"317";"415";"791";"1983"
"240760 MESSIAS TARGINO";"112";"65";"113";"146";"413";"369";"1218"
"240770 MONTANHAS";"140";"135";"272";"620";"670";"657";"2494"
"240780 MONTE ALEGRE";"387";"424";"391";"741";"875";"774";"3592"
"240790 MONTE DAS GAMELEIRAS";"41";"24";"107";"97";"588";"424";"1281"
"240800 MOSSORO";"4744";"6502";"8022";"8959";"14834";"12479";"55540"
"240810 NATAL";"16955";"23801";"11697";"28257";"64599";"53832";"199141"
"240820 NISIA FLORESTA";"534";"262";"511";"620";"1754";"2461";"6142"
"240830 NOVA CRUZ";"640";"1209";"872";"930";"1643";"3435";"8729"
"240840 OLHO-D\'AGUA DO BORGES";"92";"69";"61";"337";"180";"252";"991"
"240850 OURO BRANCO";"57";"115";"111";"148";"253";"321";"1005"
"240860 PARANA";"478";"159";"106";"177";"312";"267";"1499"
"240870 PARAU";"48";"45";"105";"52";"204";"791";"1245"
"240880 PARAZINHO";"104";"98";"203";"155";"512";"575";"1647"
"240890 PARELHAS";"481";"574";"524";"502";"746";"591";"3418"
"240895 RIO DO FOGO";"170";"119";"125";"141";"209";"510";"1274"
"240910 PASSA E FICA";"181";"132";"254";"231";"2044";"1566";"4408"
"240920 PASSAGEM";"47";"82";"187";"100";"275";"546";"1237"
"240930 PATU";"134";"220";"228";"733";"1026";"1048";"3389"
"240933 SANTA MARIA";"52";"139";"124";"114";"360";"283";"1072"
"240940 PAU DOS FERROS";"526";"680";"1008";"1442";"2508";"1571";"7735"
"240950 PEDRA GRANDE";"130";"77";"129";"344";"268";"458";"1406"
"240960 PEDRA PRETA";"47";"87";"71";"40";"42";"3";"290"
"240970 PEDRO AVELINO";"99";"102";"208";"181";"345";"195";"1130"
"240980 PEDRO VELHO";"338";"71";"140";"104";"42";"760";"1455"
"240990 PENDENCIAS";"256";"378";"466";"416";"465";"876";"2857"
"241000 PILOES";"225";"87";"69";"295";"535";"177";"1388"
"241010 POCO BRANCO";"293";"710";"456";"216";"580";"472";"2727"
"241020 PORTALEGRE";"105";"238";"182";"556";"485";"620";"2186"
"241025 PORTO DO MANGUE";"118";"60";"128";"164";"417";"456";"1343"
"241030 SERRA CAIADA";"251";"213";"355";"359";"928";"1042";"3148"
"241040 PUREZA";"196";"158";"265";"315";"1250";"956";"3140"
"241050 RAFAEL FERNANDES";"81";"75";"102";"316";"409";"276";"1259"
"241060 RAFAEL GODEIRO";"27";"86";"37";"185";"322";"340";"997"
"241070 RIACHO DA CRUZ";"29";"60";"67";"240";"189";"150";"735"
"241080 RIACHO DE SANTANA";"37";"72";"63";"144";"193";"398";"907"
"241090 RIACHUELO";"147";"180";"277";"135";"458";"934";"2131"
"241100 RODOLFO FERNANDES";"68";"144";"136";"309";"450";"493";"1600"
"241105 TIBAU";"73";"242";"325";"319";"502";"251";"1712"
"241110 RUY BARBOSA";"44";"10";"38";"76";"173";"116";"457"
"241120 SANTA CRUZ";"830";"710";"1028";"1710";"2162";"1388";"7828"
"241140 SANTANA DO MATOS";"138";"234";"188";"322";"756";"487";"2125"
"241142 SANTANA DO SERIDO";"26";"51";"67";"52";"140";"108";"444"
"241150 SANTO ANTONIO";"620";"320";"633";"844";"1722";"1120";"5259"
"241160 SAO BENTO DO NORTE";"55";"71";"111";"114";"320";"120";"791"
"241170 SAO BENTO DO TRAIRI";"47";"5";"85";"86";"159";"235";"617"
"241180 SAO FERNANDO";"47";"66";"58";"98";"200";"157";"626"
"241190 SAO FRANCISCO DO OESTE";"70";"97";"127";"265";"146";"419";"1124"
"241200 SAO GONCALO DO AMARANTE";"1725";"1818";"2010";"2318";"4710";"7614";"20195"
"241210 SAO JOAO DO SABUGI";"62";"139";"114";"119";"160";"117";"711"
"241220 SAO JOSE DE MIPIBU";"1030";"973";"1219";"1205";"2936";"3336";"10699"
"241230 SAO JOSE DO CAMPESTRE";"167";"170";"340";"271";"588";"486";"2022"
"241240 SAO JOSE DO SERIDO";"81";"133";"105";"131";"209";"181";"840"
"241250 SAO MIGUEL";"299";"380";"347";"1751";"1394";"1644";"5815"
"241255 SAO MIGUEL DO GOSTOSO";"149";"187";"236";"217";"407";"386";"1582"
"241260 SAO PAULO DO POTENGI";"197";"208";"296";"411";"741";"1022";"2875"
"241270 SAO PEDRO";"40";"117";"153";"121";"163";"176";"770"
"241280 SAO RAFAEL";"94";"142";"155";"159";"277";"575";"1402"
"241290 SAO TOME";"197";"101";"173";"247";"481";"238";"1437"
"241300 SAO VICENTE";"95";"152";"129";"355";"310";"292";"1333"
"241310 SENADOR ELOI DE SOUZA";"47";"56";"98";"129";"416";"487";"1233"
"241320 SENADOR GEORGINO AVELINO";"92";"128";"179";"331";"634";"702";"2066"
"241330 SERRA DE SAO BENTO";"77";"137";"145";"192";"1218";"840";"2609"
"241335 SERRA DO MEL";"260";"358";"374";"343";"1123";"767";"3225"
"241340 SERRA NEGRA DO NORTE";"87";"157";"201";"222";"303";"228";"1198"
"241350 SERRINHA";"108";"141";"203";"220";"686";"330";"1688"
"241355 SERRINHA DOS PINTOS";"86";"119";"73";"119";"183";"666";"1246"
"241360 SEVERIANO MELO";"76";"102";"155";"611";"647";"1147";"2738"
"241370 SITIO NOVO";"58";"112";"152";"82";"285";"367";"1056"
"241380 TABOLEIRO GRANDE";"28";"54";"55";"189";"189";"120";"635"
"241390 TAIPU";"271";"278";"269";"277";"1048";"354";"2497"
"241400 TANGARA";"185";"105";"232";"470";"631";"966";"2589"
"241410 TENENTE ANANIAS";"218";"590";"278";"272";"696";"788";"2842"
"241415 TENENTE LAURENTINO CRUZ";"122";"101";"202";"231";"366";"220";"1242"
"241420 TIBAU DO SUL";"326";"376";"279";"767";"1113";"666";"3527"
"241430 TIMBAUBA DOS BATISTAS";"42";"50";"41";"65";"283";"151";"632"
"241440 TOUROS";"796";"785";"772";"582";"2923";"3224";"9082"
"241445 TRIUNFO POTIGUAR";"100";"81";"61";"105";"262";"404";"1013"
"241450 UMARIZAL";"122";"84";"164";"645";"341";"247";"1603"
"241460 UPANEMA";"277";"428";"200";"269";"884";"634";"2692"
"241470 VARZEA";"59";"90";"118";"129";"286";"214";"896"
"241475 VENHA-VER";"198";"150";"242";"82";"152";"158";"982"
"241480 VERA CRUZ";"166";"19";"172";"120";"727";"881";"2085"
"241490 VICOSA";"26";"61";"45";"221";"93";"50";"496"
"241500 VILA FLOR";"61";"49";"111";"99";"226";"198";"744"
"250010 AGUA BRANCA";"130";"237";"274";"825";"506";"546";"2518"
"250020 AGUIAR";"87";"124";"126";"114";"217";"185";"853"
"250030 ALAGOA GRANDE";"705";"598";"548";"667";"1489";"1324";"5331"
"250040 ALAGOA NOVA";"460";"638";"567";"593";"1326";"990";"4574"
"250050 ALAGOINHA";"148";"275";"441";"723";"1192";"342";"3121"
"250053 ALCANTIL";"115";"170";"208";"243";"923";"237";"1896"
"250057 ALGODAO DE JANDAIRA";"66";"75";"82";"90";"152";"161";"626"
"250060 ALHANDRA";"530";"421";"712";"2008";"1199";"1310";"6180"
"250070 SAO JOAO DO RIO DO PEIXE";"195";"467";"389";"681";"1233";"953";"3918"
"250073 AMPARO";"48";"23";"42";"79";"204";"95";"491"
"250077 APARECIDA";"175";"244";"178";"212";"530";"261";"1600"
"250080 ARACAGI";"362";"375";"441";"432";"1226";"693";"3529"
"250090 ARARA";"273";"447";"178";"349";"611";"513";"2371"
"250100 ARARUNA";"170";"200";"372";"509";"2092";"1170";"4513"
"250110 AREIA";"504";"725";"653";"737";"1569";"1312";"5500"
"250115 AREIA DE BARAUNAS";"33";"39";"32";"210";"258";"370";"942"
"250120 AREIAL";"79";"87";"170";"176";"350";"401";"1263"
"250130 AROEIRAS";"423";"578";"670";"640";"1165";"1510";"4986"
"250135 ASSUNCAO";"65";"167";"134";"220";"371";"226";"1183"
"250140 BAIA DA TRAICAO";"351";"391";"478";"343";"347";"320";"2230"
"250150 BANANEIRAS";"336";"539";"533";"552";"1169";"509";"3638"
"250153 BARAUNA";"182";"57";"89";"87";"193";"150";"758"
"250157 BARRA DE SANTANA";"97";"139";"159";"167";"597";"384";"1543"
"250160 BARRA DE SANTA ROSA";"315";"389";"363";"348";"469";"521";"2405"
"250170 BARRA DE SAO MIGUEL";"119";"195";"199";"474";"1106";"324";"2417"
"250180 BAYEUX";"2193";"2355";"2250";"2631";"4388";"2609";"16426"
"250190 BELEM";"350";"426";"487";"425";"1310";"1015";"4013"
"250200 BELEM DO BREJO DO CRUZ";"137";"91";"140";"224";"200";"52";"844"
"250205 BERNARDINO BATISTA";"114";"228";"221";"275";"553";"372";"1763"
"250210 BOA VENTURA";"85";"65";"233";"243";"466";"617";"1709"
"250215 BOA VISTA";"150";"200";"133";"201";"508";"350";"1542"
"250220 BOM JESUS";"47";"77";"59";"180";"250";"136";"749"
"250230 BOM SUCESSO";"59";"124";"115";"566";"574";"102";"1540"
"250240 BONITO DE SANTA FE";"157";"221";"251";"433";"719";"416";"2197"
"250250 BOQUEIRAO";"379";"780";"1235";"1437";"1189";"539";"5559"
"250260 IGARACY";"123";"85";"114";"120";"147";"117";"706"
"250270 BORBOREMA";"84";"159";"103";"145";"447";"232";"1170"
"250280 BREJO DO CRUZ";"337";"528";"421";"372";"1791";"408";"3857"
"250290 BREJO DOS SANTOS";"121";"130";"184";"76";"69";"35";"615"
"250300 CAAPORA";"560";"833";"608";"861";"1179";"1515";"5556"
"250310 CABACEIRAS";"74";"135";"83";"157";"315";"212";"976"
"250320 CABEDELO";"1355";"1868";"1493";"3427";"3745";"2183";"14071"
"250330 CACHOEIRA DOS INDIOS";"159";"308";"279";"233";"442";"390";"1811"
"250340 CACIMBA DE AREIA";"66";"117";"92";"108";"111";"188";"682"
"250350 CACIMBA DE DENTRO";"300";"393";"145";"483";"934";"604";"2859"
"250355 CACIMBAS";"184";"299";"302";"372";"645";"408";"2210"
"250360 CAICARA";"163";"234";"200";"157";"422";"332";"1508"
"250370 CAJAZEIRAS";"1769";"2632";"2503";"3419";"4887";"3134";"18344"
"250375 CAJAZEIRINHAS";"52";"99";"153";"108";"225";"159";"796"
"250380 CALDAS BRANDAO";"127";"248";"163";"155";"371";"305";"1369"
"250390 CAMALAU";"107";"245";"89";"158";"242";"140";"981"
"250400 CAMPINA GRANDE";"9139";"16490";"16000";"18472";"26135";"8356";"94592"
"250403 CAPIM";"234";"116";"158";"190";"396";"436";"1530"
"250407 CARAUBAS";"65";"103";"106";"80";"360";"196";"910"
"250410 CARRAPATEIRA";"29";"59";"58";"63";"312";"192";"713"
"250415 CASSERENGUE";"122";"168";"164";"204";"395";"289";"1342"
"250420 CATINGUEIRA";"245";"199";"114";"267";"491";"191";"1507"
"250430 CATOLE DO ROCHA";"1439";"2617";"995";"2657";"2811";"2114";"12633"
"250435 CATURITE";"58";"184";"156";"156";"630";"307";"1491"
"250440 CONCEICAO";"530";"799";"676";"979";"1302";"866";"5152"
"250450 CONDADO";"431";"136";"109";"170";"587";"254";"1687"
"250460 CONDE";"668";"873";"838";"1173";"2531";"1677";"7760"
"250470 CONGO";"103";"68";"98";"132";"239";"131";"771"
"250480 COREMAS";"286";"395";"377";"484";"805";"857";"3204"
"250485 COXIXOLA";"28";"43";"43";"35";"60";"62";"271"
"250490 CRUZ DO ESPIRITO SANTO";"250";"384";"515";"663";"1110";"882";"3804"
"250500 CUBATI";"183";"260";"204";"199";"470";"425";"1741"
"250510 CUITE";"333";"355";"486";"688";"882";"707";"3451"
"250520 CUITEGI";"114";"89";"316";"198";"148";"151";"1016"
"250523 CUITE DE MAMANGUAPE";"101";"16";"198";"223";"475";"165";"1178"
"250527 CURRAL DE CIMA";"76";"85";"132";"232";"871";"383";"1779"
"250530 CURRAL VELHO";"38";"56";"142";"78";"135";"185";"634"
"250535 DAMIAO";"124";"181";"158";"95";"347";"453";"1358"
"250540 DESTERRO";"118";"129";"255";"219";"484";"340";"1545"
"250550 VISTA SERRANA";"31";"23";"101";"38";"479";"142";"814"
"250560 DIAMANTE";"96";"155";"168";"170";"284";"362";"1235"
"250570 DONA INES";"245";"297";"274";"225";"766";"288";"2095"
"250580 DUAS ESTRADAS";"70";"98";"135";"261";"358";"325";"1247"
"250590 EMAS";"47";"94";"65";"69";"245";"206";"726"
"250600 ESPERANCA";"442";"814";"715";"1011";"1207";"1229";"5418"
"250610 FAGUNDES";"289";"343";"345";"373";"651";"549";"2550"
"250620 FREI MARTINHO";"73";"43";"52";"99";"72";"105";"444"
"250625 GADO BRAVO";"134";"230";"179";"316";"395";"315";"1569"
"250630 GUARABIRA";"1271";"1823";"1606";"1603";"3156";"2184";"11643"
"250640 GURINHEM";"198";"322";"542";"464";"731";"428";"2685"
"250650 GURJAO";"34";"81";"85";"227";"206";"461";"1094"
"250660 IBIARA";"84";"152";"115";"149";"482";"350";"1332"
"250670 IMACULADA";"333";"488";"375";"390";"801";"211";"2598"
"250680 INGA";"360";"414";"390";"444";"1049";"1663";"4320"
"250690 ITABAIANA";"429";"589";"646";"752";"1592";"761";"4769"
"250700 ITAPORANGA";"497";"719";"1063";"1135";"1379";"1260";"6053"
"250710 ITAPOROROCA";"260";"451";"484";"632";"803";"748";"3378"
"250720 ITATUBA";"125";"231";"565";"889";"726";"523";"3059"
"250730 JACARAU";"293";"407";"374";"520";"982";"963";"3539"
"250740 JERICO";"90";"167";"215";"234";"659";"338";"1703"
"250750 JOAO PESSOA";"25491";"31811";"25533";"49797";"62519";"27860";"223011"
"250760 JUAREZ TAVORA";"102";"97";"180";"238";"250";"187";"1054"
"250770 JUAZEIRINHO";"362";"427";"466";"640";"1509";"718";"4122"
"250780 JUNCO DO SERIDO";"116";"169";"184";"175";"443";"311";"1398"
"250790 JURIPIRANGA";"158";"326";"263";"516";"615";"301";"2179"
"250800 JURU";"163";"387";"424";"1010";"663";"477";"3124"
"250810 LAGOA";"58";"88";"132";"227";"177";"116";"798"
"250820 LAGOA DE DENTRO";"129";"272";"180";"232";"371";"266";"1450"
"250830 LAGOA SECA";"334";"451";"616";"898";"1555";"1159";"5013"
"250840 LASTRO";"28";"74";"69";"92";"140";"146";"549"
"250850 LIVRAMENTO";"177";"178";"189";"220";"405";"436";"1605"
"250855 LOGRADOURO";"88";"189";"141";"149";"339";"236";"1142"
"250860 LUCENA";"302";"481";"491";"1373";"1684";"1327";"5658"
"250870 MAE D\'AGUA";"64";"164";"132";"106";"223";"200";"889"
"250880 MALTA";"115";"226";"126";"168";"471";"471";"1577"
"250890 MAMANGUAPE";"526";"475";"1028";"2570";"3167";"1767";"9533"
"250900 MANAIRA";"188";"523";"374";"277";"242";"113";"1717"
"250905 MARCACAO";"445";"568";"403";"565";"548";"1043";"3572"
"250910 MARI";"474";"656";"517";"566";"1213";"1157";"4583"
"250915 MARIZOPOLIS";"93";"100";"68";"178";"389";"336";"1164"
"250920 MASSARANDUBA";"275";"412";"273";"252";"694";"418";"2324"
"250930 MATARACA";"144";"238";"284";"324";"489";"337";"1816"
"250933 MATINHAS";"95";"144";"118";"133";"274";"147";"911"
"250937 MATO GROSSO";"45";"85";"40";"110";"56";"79";"415"
"250939 MATUREIA";"212";"213";"204";"207";"476";"352";"1664"
"250940 MOGEIRO";"320";"408";"116";"356";"865";"364";"2429"
"250950 MONTADAS";"104";"198";"254";"195";"421";"564";"1736"
"250960 MONTE HOREBE";"170";"141";"219";"149";"169";"65";"913"
"250970 MONTEIRO";"565";"935";"911";"1722";"3269";"2056";"9458"
"250980 MULUNGU";"149";"188";"254";"390";"799";"272";"2052"
"250990 NATUBA";"69";"131";"144";"202";"560";"260";"1366"
"251000 NAZAREZINHO";"115";"189";"127";"168";"464";"213";"1276"
"251010 NOVA FLORESTA";"156";"309";"280";"267";"659";"802";"2473"
"251020 NOVA OLINDA";"109";"214";"185";"201";"468";"506";"1683"
"251030 NOVA PALMEIRA";"70";"92";"80";"266";"188";"177";"873"
"251040 OLHO D\'AGUA";"145";"150";"245";"951";"695";"472";"2658"
"251050 OLIVEDOS";"64";"105";"84";"117";"470";"152";"992"
"251060 OURO VELHO";"65";"43";"48";"73";"137";"89";"455"
"251065 PARARI";"8";"26";"18";"27";"61";"53";"193"
"251070 PASSAGEM";"41";"69";"45";"65";"129";"58";"407"
"251080 PATOS";"2510";"3674";"3659";"2822";"3214";"2539";"18418"
"251090 PAULISTA";"149";"300";"230";"704";"756";"862";"3001"
"251100 PEDRA BRANCA";"74";"102";"128";"121";"297";"272";"994"
"251110 PEDRA LAVRADA";"104";"171";"176";"174";"604";"300";"1529"
"251120 PEDRAS DE FOGO";"661";"1016";"996";"1175";"2253";"626";"6727"
"251130 PIANCO";"467";"789";"525";"627";"783";"611";"3802"
"251140 PICUI";"339";"427";"401";"657";"1043";"866";"3733"
"251150 PILAR";"243";"184";"319";"838";"1013";"448";"3045"
"251160 PILOES";"277";"218";"276";"305";"662";"360";"2098"
"251170 PILOEZINHOS";"113";"134";"200";"176";"375";"383";"1381"
"251180 PIRPIRITUBA";"201";"130";"261";"234";"527";"384";"1737"
"251190 PITIMBU";"249";"270";"434";"599";"1277";"778";"3607"
"251200 POCINHOS";"315";"511";"463";"606";"1070";"801";"3766"
"251203 POCO DANTAS";"51";"182";"164";"250";"333";"294";"1274"
"251207 POCO DE JOSE DE MOURA";"45";"99";"86";"76";"190";"193";"689"
"251210 POMBAL";"497";"812";"689";"1142";"1880";"1399";"6419"
"251220 PRATA";"50";"34";"80";"71";"212";"131";"578"
"251230 PRINCESA ISABEL";"272";"408";"555";"621";"1396";"1974";"5226"
"251240 PUXINANA";"311";"253";"432";"497";"769";"854";"3116"
"251250 QUEIMADAS";"786";"901";"947";"1224";"3522";"1688";"9068"
"251260 QUIXABA";"40";"112";"77";"153";"129";"109";"620"
"251270 REMIGIO";"327";"447";"528";"506";"1013";"639";"3460"
"251272 PEDRO REGIS";"103";"75";"162";"138";"229";"322";"1029"
"251274 RIACHAO";"55";"98";"74";"101";"138";"145";"611"
"251275 RIACHAO DO BACAMARTE";"86";"109";"241";"142";"365";"138";"1081"
"251276 RIACHAO DO POCO";"80";"136";"107";"199";"303";"345";"1170"
"251278 RIACHO DE SANTO ANTONIO";"22";"79";"63";"85";"421";"80";"750"
"251280 RIACHO DOS CAVALOS";"121";"210";"180";"218";"458";"379";"1566"
"251290 RIO TINTO";"436";"723";"700";"834";"1521";"1217";"5431"
"251300 SALGADINHO";"92";"134";"59";"60";"90";"82";"517"
"251310 SALGADO DE SAO FELIX";"207";"127";"180";"226";"386";"296";"1422"
"251315 SANTA CECILIA";"114";"223";"211";"194";"334";"458";"1534"
"251320 SANTA CRUZ";"42";"130";"150";"128";"408";"295";"1153"
"251330 SANTA HELENA";"120";"128";"92";"122";"212";"154";"828"
"251335 SANTA INES";"57";"60";"148";"69";"226";"107";"667"
"251340 SANTA LUZIA";"333";"364";"313";"397";"869";"732";"3008"
"251350 SANTANA DE MANGUEIRA";"68";"87";"150";"115";"243";"217";"880"
"251360 SANTANA DOS GARROTES";"75";"155";"160";"150";"396";"584";"1520"
"251365 JOCA CLAUDINO";"21";"39";"71";"56";"176";"101";"464"
"251370 SANTA RITA";"2815";"2249";"4482";"6164";"14225";"6031";"35966"
"251380 SANTA TERESINHA";"90";"150";"144";"398";"485";"327";"1594"
"251385 SANTO ANDRE";"28";"71";"46";"148";"324";"188";"805"
"251390 SAO BENTO";"751";"1211";"1097";"923";"3804";"2936";"10722"
"251392 SAO BENTINHO";"59";"146";"80";"444";"248";"196";"1173"
"251394 SAO DOMINGOS DO CARIRI";"42";"64";"63";"79";"180";"133";"561"
"251396 SAO DOMINGOS";"43";"129";"101";"53";"244";"261";"831"
"251398 SAO FRANCISCO";"45";"66";"89";"66";"294";"179";"739"
"251400 SAO JOAO DO CARIRI";"53";"90";"76";"49";"115";"90";"473"
"251410 SAO JOAO DO TIGRE";"112";"153";"101";"128";"195";"101";"790"
"251420 SAO JOSE DA LAGOA TAPADA";"93";"250";"238";"222";"565";"278";"1646"
"251430 SAO JOSE DE CAIANA";"80";"127";"138";"125";"287";"313";"1070"
"251440 SAO JOSE DE ESPINHARAS";"53";"96";"85";"113";"192";"235";"774"
"251445 SAO JOSE DOS RAMOS";"124";"162";"166";"220";"307";"191";"1170"
"251450 SAO JOSE DE PIRANHAS";"321";"625";"295";"654";"749";"859";"3503"
"251455 SAO JOSE DE PRINCESA";"291";"453";"87";"80";"299";"115";"1325"
"251460 SAO JOSE DO BONFIM";"122";"105";"47";"90";"145";"142";"651"
"251465 SAO JOSE DO BREJO DO CRUZ";"26";"41";"32";"47";"77";"61";"284"
"251470 SAO JOSE DO SABUGI";"83";"63";"59";"65";"343";"148";"761"
"251480 SAO JOSE DOS CORDEIROS";"68";"43";"55";"105";"142";"113";"526"
"251490 SAO MAMEDE";"119";"230";"146";"175";"634";"224";"1528"
"251500 SAO MIGUEL DE TAIPU";"95";"138";"75";"84";"307";"282";"981"
"251510 SAO SEBASTIAO DE LAGOA DE ROCA";"237";"261";"305";"282";"576";"377";"2038"
"251520 SAO SEBASTIAO DO UMBUZEIRO";"80";"163";"81";"367";"388";"145";"1224"
"251530 SAPE";"872";"1113";"1094";"1197";"2880";"1220";"8376"
"251540 SAO VICENTE DO SERIDO";"175";"93";"241";"351";"1005";"868";"2733"
"251550 SERRA BRANCA";"235";"288";"397";"928";"335";"310";"2493"
"251560 SERRA DA RAIZ";"38";"101";"53";"81";"228";"195";"696"
"251570 SERRA GRANDE";"44";"80";"91";"79";"179";"154";"627"
"251580 SERRA REDONDA";"101";"118";"110";"139";"148";"129";"745"
"251590 SERRARIA";"114";"123";"136";"117";"367";"171";"1028"
"251593 SERTAOZINHO";"86";"168";"152";"155";"362";"154";"1077"
"251597 SOBRADO";"161";"163";"215";"507";"367";"597";"2010"
"251600 SOLANEA";"572";"823";"722";"916";"1780";"810";"5623"
"251610 SOLEDADE";"234";"426";"344";"597";"991";"513";"3105"
"251615 SOSSEGO";"124";"113";"80";"155";"336";"192";"1000"
"251620 SOUSA";"1769";"1875";"1396";"2539";"5775";"2540";"15894"
"251630 SUME";"174";"351";"391";"454";"1027";"457";"2854"
"251640 TACIMA";"170";"162";"230";"333";"832";"519";"2246"
"251650 TAPEROA";"401";"202";"458";"498";"636";"377";"2572"
"251660 TAVARES";"239";"357";"531";"263";"1010";"868";"3268"
"251670 TEIXEIRA";"365";"676";"466";"426";"1221";"829";"3983"
"251675 TENORIO";"38";"93";"62";"59";"231";"38";"521"
"251680 TRIUNFO";"209";"511";"371";"590";"511";"471";"2663"
"251690 UIRAUNA";"220";"426";"388";"1060";"1301";"1328";"4723"
"251700 UMBUZEIRO";"189";"271";"182";"295";"879";"310";"2126"
"251710 VARZEA";"35";"63";"62";"71";"242";"93";"566"
"251720 VIEIROPOLIS";"61";"103";"101";"95";"211";"173";"744"
"251740 ZABELE";"81";"95";"134";"109";"236";"121";"776"
"260005 ABREU E LIMA";"3881";"17620";"6258";"14061";"5959";"3821";"51600"
"260010 AFOGADOS DA INGAZEIRA";"1190";"1513";"1203";"2612";"2754";"2339";"11611"
"260020 AFRANIO";"288";"509";"1135";"1437";"2257";"2681";"8307"
"260030 AGRESTINA";"738";"889";"1108";"1466";"2595";"1594";"8390"
"260040 AGUA PRETA";"1024";"875";"858";"972";"2119";"1285";"7133"
"260050 AGUAS BELAS";"1473";"1681";"1836";"2217";"2851";"2558";"12616"
"260060 ALAGOINHA";"371";"517";"386";"620";"1059";"825";"3778"
"260070 ALIANCA";"1139";"1112";"1000";"1690";"2118";"1848";"8907"
"260080 ALTINHO";"519";"459";"455";"1066";"2520";"897";"5916"
"260090 AMARAJI";"389";"580";"628";"583";"1303";"1699";"5182"
"260100 ANGELIM";"197";"205";"291";"423";"930";"1401";"3447"
"260105 ARACOIABA";"817";"511";"407";"885";"1588";"1850";"6058"
"260110 ARARIPINA";"2920";"3138";"3667";"4507";"4783";"5487";"24502"
"260120 ARCOVERDE";"2992";"8795";"3063";"7929";"8581";"6207";"37567"
"260130 BARRA DE GUABIRABA";"417";"555";"375";"793";"1077";"781";"3998"
"260140 BARREIROS";"1922";"1766";"2117";"2429";"4054";"1831";"14119"
"260150 BELEM DE MARIA";"289";"247";"332";"613";"1091";"1258";"3830"
"260160 BELEM DE SAO FRANCISCO";"562";"624";"591";"783";"1199";"1671";"5430"
"260170 BELO JARDIM";"4470";"4500";"3220";"6358";"5887";"5129";"29564"
"260180 BETANIA";"441";"238";"419";"631";"1059";"1016";"3804"
"260190 BEZERROS";"1787";"1979";"1649";"3591";"3726";"3205";"15937"
"260200 BODOCO";"1066";"1351";"903";"1549";"2709";"1528";"9106"
"260210 BOM CONSELHO";"1436";"1508";"917";"1891";"1703";"2643";"10098"
"260220 BOM JARDIM";"605";"732";"914";"1670";"2905";"1801";"8627"
"260230 BONITO";"1303";"972";"962";"926";"2234";"2269";"8666"
"260240 BREJAO";"202";"355";"312";"912";"694";"992";"3467"
"260250 BREJINHO";"133";"221";"258";"734";"499";"332";"2177"
"260260 BREJO DA MADRE DE DEUS";"1673";"1771";"1575";"3656";"5334";"4074";"18083"
"260270 BUENOS AIRES";"457";"378";"351";"313";"711";"779";"2989"
"260280 BUIQUE";"1396";"2105";"1715";"7985";"7509";"3448";"24158"
"260290 CABO DE SANTO AGOSTINHO";"8115";"6696";"6369";"13900";"21379";"5237";"61696"
"260300 CABROBO";"1067";"986";"883";"1456";"1990";"2637";"9019"
"260310 CACHOEIRINHA";"370";"667";"458";"411";"868";"2034";"4808"
"260320 CAETES";"872";"805";"937";"1039";"2060";"2010";"7723"
"260330 CALCADO";"274";"369";"275";"693";"686";"891";"3188"
"260340 CALUMBI";"154";"170";"168";"857";"298";"288";"1935"
"260345 CAMARAGIBE";"6399";"8711";"6003";"7752";"5431";"6234";"40530"
"260350 CAMOCIM DE SAO FELIX";"394";"397";"451";"832";"1725";"797";"4596"
"260360 CAMUTANGA";"119";"181";"218";"899";"702";"1363";"3482"
"260370 CANHOTINHO";"609";"592";"638";"1120";"1643";"1639";"6241"
"260380 CAPOEIRAS";"446";"231";"562";"511";"864";"1013";"3627"
"260390 CARNAIBA";"610";"871";"817";"1623";"1192";"1168";"6281"
"260392 CARNAUBEIRA DA PENHA";"747";"916";"856";"1003";"954";"553";"5029"
"260400 CARPINA";"1859";"1688";"2907";"4457";"8843";"8219";"27973"
"260410 CARUARU";"16391";"34092";"14080";"27967";"53657";"23538";"169725"
"260415 CASINHAS";"351";"314";"310";"321";"767";"739";"2802"
"260420 CATENDE";"1064";"1058";"1327";"2433";"3383";"1383";"10648"
"260430 CEDRO";"543";"826";"363";"424";"1039";"885";"4080"
"260440 CHA DE ALEGRIA";"358";"650";"449";"756";"2037";"865";"5115"
"260450 CHA GRANDE";"727";"674";"577";"763";"1655";"968";"5364"
"260460 CONDADO";"599";"798";"975";"1090";"1830";"1136";"6428"
"260470 CORRENTES";"402";"463";"241";"597";"846";"442";"2991"
"260480 CORTES";"712";"52";"63";"144";"443";"809";"2223"
"260490 CUMARU";"284";"533";"570";"404";"705";"1067";"3563"
"260500 CUPIRA";"852";"842";"785";"780";"2257";"2758";"8274"
"260510 CUSTODIA";"1868";"2765";"2297";"4587";"5604";"3181";"20302"
"260515 DORMENTES";"312";"300";"912";"1211";"2179";"1220";"6134"
"260520 ESCADA";"3311";"5511";"4815";"4196";"4724";"1695";"24252"
"260530 EXU";"709";"994";"837";"983";"1955";"1994";"7472"
"260540 FEIRA NOVA";"749";"1543";"600";"1208";"1252";"2941";"8293"
